From,To
Winnipeg,London
London,Toronto
London,Calgary
London,Winnipeg
London,Barcelona
London,Edingburgh
Edingburgh,London
London,Granada
London,Oxford
Oxford,London
Toronto,Los Angeles
Los Angeles,Toronto
Toronto,Winnipeg
Winnipeg,Toronto
Toronto,Philadelphia
Philadelphia,Ithaca
Ithaca,Detroit
Detroit,Minneapolis
Minneapolis,Winnipeg
Toronto,Durham
Durham,Toronto
London,Split
Split,London
Toronto,Reykjavík
Reykjavík,Berlin
London,Paris
Paris,London
Toronto,Bogota
Bogota,Cartegena
Cartegena,Guayaquil
Guayaquil,San Cristobal Island
San Cristobal Island,Guayaquil
Guayaquil,Cusco
Cusco,Le Paz
Le Paz,Lima
Lima,Toronto
Winnipeg,Vancouver
Vancouver,Winnipeg
Toronto,Ottawa
Ottawa,Toronto
Toronto,Montreal
Montreal,Toronto
